Day,Max_Temp,Min_Temp,Avg_Temp,Precipitation
2022-06-01,79,55,67,T
2022-06-02,83,56,69.5,0.04
2022-06-03,73,54,63.5,0.04
2022-06-04,70,52,61,0.23
2022-06-05,73,58,65.5,0.51
2022-06-06,72,55,63.5,T
2022-06-07,78,47,62.5,0
2022-06-08,76,60,68,T
2022-06-09,81,60,70.5,0.01
2022-06-10,73,58,65.5,0.78
2022-06-11,72,58,65,0.3
2022-06-12,63,47,55,1
2022-06-13,59,45,52,0.49
2022-06-14,65,47,56,0
2022-06-15,75,42,58.5,0
2022-06-16,73,56,64.5,0
2022-06-17,74,56,65,T
2022-06-18,65,52,58.5,T
2022-06-19,69,52,60.5,0.01
2022-06-20,72,55,63.5,0
2022-06-21,82,50,66,0
2022-06-22,86,57,71.5,0
2022-06-23,77,54,65.5,0
2022-06-24,76,52,64,0
2022-06-25,84,50,67,0
2022-06-26,90,53,71.5,0
2022-06-27,96,62,79,0
2022-06-28,85,60,72.5,0
2022-06-29,81,57,69,0
2022-06-30,87,54,70.5,0